username,password,firstname,lastname,email,course1,role1;;;;;;;;;;;
UUHS001,Pass123!,John,Smith,john.smith@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS002,Pass123!,Emily,Johnson,emily.johnson@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS003,Pass123!,Michael,Brown,michael.brown@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS004,Pass123!,Sarah,Williams,sarah.williams@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS005,Pass123!,David,Martinez,david.martinez@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS006,Pass123!,Jennifer,Garcia,jennifer.garcia@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS007,Pass123!,Robert,Wilson,robert.wilson@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS008,Pass123!,Lisa,Davis,lisa.davis@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS009,Pass123!,James,Rodriguez,james.rodriguez@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS010,Pass123!,Maria,Hernandez,maria.hernandez@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS011,Pass123!,William,Lee,william.lee@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS012,Pass123!,Jessica,Gonzalez,jessica.gonzalez@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS013,Pass123!,Christopher,Clark,christopher.clark@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS014,Pass123!,Amanda,Walker,amanda.walker@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS015,Pass123!,Anthony,Harris,anthony.harris@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS016,Pass123!,Ashley,Thompson,ashley.thompson@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS017,Pass123!,Daniel,White,daniel.white@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS018,Pass123!,Megan,Robinson,megan.robinson@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS019,Pass123!,Charles,Lewis,charles.lewis@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS020,Pass123!,Kimberly,Young,kimberly.young@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS021,Pass123!,Jason,King,jason.king@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS022,Pass123!,Laura,Hill,laura.hill@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS023,Pass123!,Brian,Scott,brian.scott@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS024,Pass123!,Melissa,Adams,melissa.adams@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS025,Pass123!,Patrick,Baker,patrick.baker@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS026,Pass123!,Emily,Evans,emily.evans@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS027,Pass123!,Joshua,Morris,joshua.morris@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS028,Pass123!,Jessica,Hall,jessica.hall@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS029,Pass123!,Benjamin,Allen,benjamin.allen@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS030,Pass123!,Victoria,Hernandez,victoria.hernandez@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS031,Pass123!,Aaron,Scott,aaron.scott@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS032,Pass123!,Rachel,Green,rachel.green@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS033,Pass123!,Steven,Turner,steven.turner@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS034,Pass123!,Elizabeth,Mitchell,elizabeth.mitchell@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS035,Pass123!,Jacob,Carter,jacob.carter@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS036,Pass123!,Mia,Campbell,mia.campbell@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS037,Pass123!,Alexis,Parker,alexis.parker@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS038,Pass123!,Brandon,Williams,brandon.williams@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS039,Pass123!,Samantha,Ross,samantha.ross@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS040,Pass123!,Daniel,Murphy,daniel.murphy@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS041,Pass123!,Hannah,Bailey,hannah.bailey@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS042,Pass123!,Ryan,Clark,ryan.clark@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS043,Pass123!,Sophia,Garcia,sophia.garcia@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS044,Pass123!,Justin,Hill,justin.hill@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS045,Pass123!,Ella,Cooper,ella.cooper@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS046,Pass123!,Madison,Gray,madison.gray@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS047,Pass123!,Kevin,Adams,kevin.adams@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS048,Pass123!,Zoe,Ramirez,zoe.ramirez@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS049,Pass123!,Brian,Brooks,brian.brooks@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS050,Pass123!,Grace,Ward,grace.ward@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS051,Pass123!,Natalie,Martin,natalie.martin@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS052,Pass123!,Jason,Hughes,jason.hughes@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS053,Pass123!,Amber,Baker,amber.baker@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS054,Pass123!,Kyle,Young,kyle.young@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS055,Pass123!,Haley,Butler,haley.butler@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS056,Pass123!,Nicholas,Wright,nicholas.wright@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS057,Pass123!,Megan,Diaz,megan.diaz@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS058,Pass123!,Dylan,Miller,dylan.miller@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS059,Pass123!,Kaitlyn,Reed,kaitlyn.reed@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS060,Pass123!,Samuel,Howard,samuel.howard@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
