username,password,firstname,lastname,email,course1,role1
UUHS001,Pass123!,John,Smith,john.smith@uuhs.edu,bachelor_health_sci,student
UUHS002,Pass123!,Emily,Johnson,emily.johnson@uuhs.edu,bachelor_health_sci,student
UUHS003,Pass123!,Michael,Brown,michael.brown@uuhs.edu,diploma_public_health,student
UUHS004,Pass123!,Sarah,Williams,sarah.williams@uuhs.edu,diploma_pediatric_nursing,student
UUHS005,Pass123!,David,Martinez,david.martinez@uuhs.edu,bachelor_public_health,student
UUHS006,Pass123!,Jennifer,Garcia,jennifer.garcia@uuhs.edu,bachelor_pharm_sci,student
UUHS007,Pass123!,Robert,Wilson,robert.wilson@uuhs.edu,bachelor_pharm_sci,student
UUHS008,Pass123!,Lisa,Davis,lisa.davis@uuhs.edu,diploma_public_health,student
UUHS009,Pass123!,James,Rodriguez,james.rodriguez@uuhs.edu,diploma_pediatric_nursing,student
UUHS010,Pass123!,Maria,Hernandez,maria.hernandez@uuhs.edu,bachelor_health_sci,student
UUHS011,Pass123!,William,Lee,william.lee@uuhs.edu,bachelor_public_health,student
UUHS012,Pass123!,Jessica,Gonzalez,jessica.gonzalez@uuhs.edu,diploma_public_health,student
UUHS013,Pass123!,Christopher,Clark,christopher.clark@uuhs.edu,bachelor_pharm_sci,student
UUHS014,Pass123!,Amanda,Walker,amanda.walker@uuhs.edu,diploma_pediatric_nursing,student
UUHS015,Pass123!,Anthony,Harris,anthony.harris@uuhs.edu,bachelor_public_health,student
UUHS016,Pass123!,Ashley,Thompson,ashley.thompson@uuhs.edu,bachelor_health_sci,student
UUHS017,Pass123!,Daniel,White,daniel.white@uuhs.edu,bachelor_pharm_sci,student
UUHS018,Pass123!,Megan,Robinson,megan.robinson@uuhs.edu,diploma_public_health,student
UUHS019,Pass123!,Charles,Lewis,charles.lewis@uuhs.edu,bachelor_public_health,student
UUHS020,Pass123!,Kimberly,Young,kimberly.young@uuhs.edu,diploma_pediatric_nursing,student
UUHS021,Pass123!,Jason,King,jason.king@uuhs.edu,bachelor_pharm_sci,student
UUHS022,Pass123!,Laura,Hill,laura.hill@uuhs.edu,bachelor_health_sci,student
UUHS023,Pass123!,Brian,Scott,brian.scott@uuhs.edu,diploma_public_health,student
UUHS024,Pass123!,Melissa,Adams,melissa.adams@uuhs.edu,bachelor_public_health,student
UUHS025,Pass123!,Patrick,Baker,patrick.baker@uuhs.edu,diploma_pediatric_nursing,student
